agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,0,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,11,0,0,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,10,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,10,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,100,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,100,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1000,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,1000,True,den520d-random-17.scen,20
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,23,0,0,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,24,0,0,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,19,0,1,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,1,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,27,0,10,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,25,0,10,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,19,0,100,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,26,0,100,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,1000,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,26,0,1000,True,den520d-random-17.scen,60
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,34,0,0,False,den520d-random-17.scen,100
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,40,0,0,True,den520d-random-17.scen,100
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,41,0,1,False,den520d-random-17.scen,100
100,den520d.map,planner,1,18941,18061,410,410,18222,18061,40,0,1,True,den520d-random-17.scen,100
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,42,0,10,False,den520d-random-17.scen,100
100,den520d.map,planner,1,18941,18061,410,410,18222,18061,38,0,10,True,den520d-random-17.scen,100
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,41,0,100,False,den520d-random-17.scen,100
100,den520d.map,planner,1,18941,18061,410,410,18222,18061,37,0,100,True,den520d-random-17.scen,100
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,42,0,1000,False,den520d-random-17.scen,100
100,den520d.map,planner,1,18941,18061,410,410,18222,18061,43,0,1000,True,den520d-random-17.scen,100
140,den520d.map,planner,1,25336,23753,410,410,24119,23753,54,0,0,False,den520d-random-17.scen,140
140,den520d.map,planner,1,25336,23753,410,410,24119,23753,53,0,0,True,den520d-random-17.scen,140
140,den520d.map,planner,1,25336,23753,410,410,24119,23753,55,0,1,False,den520d-random-17.scen,140
